HotelID,HotelName,District
1,LUX Le Morne,Black River
2,Maradiva Villas Resort & Spa,Black River
3,Sands Suites Resort & Spa,Black River
4,Anelia Resort & Spa,Black River
5,La Pirogue Hotel,Black River
6,Manisa Hotel,Black River
7,Villa Caroline Hotel,Black River
8,Paradis Beachcomber Golf Resort & Spa,Black River
9,Hilton Mauritius Resort,Black River
10,Sugar Beach Resort,Black River
11,Sofitel Imperial,Black River
12,Dinarobin Beachcomber Golf Resort & Spa,Black River
13,La Plantation d'Albion Club Med,Black River
14,Pearle Beach Resort & Spa,Black River
15,Aanari Hotel & Spa,Black River
16,Tamarina Golf & Spa Boutique Hotel,Black River
17,JW Marriott (Mauritius) Resort,Black River
18,Veranda Tamarin,Black River
19,Wolmar Gold Beach Resorts,Black River
20,Palmtree Garden Hotel,Black River
21,RIU Palace (Mauritius),Black River
22,The Residence (Mauritius) Hotel,Flacq
23,Seasense Hotel & Spa,Flacq
24,Constance Le Prince Maurice,Flacq
25,Silver Beach Hotel,Flacq
26,Constance Belle Mare Plage,Flacq
27,Sunrise Attitude,Flacq
28,LUX* Belle Mare Resort & Villas,Flacq
29,One&Only Le Saint Géran Hotel,Flacq
30,La Maison d'Été,Flacq
31,Shangri-La Le Touessrok,Flacq
32,Four Seasons Resort Mauritius at Anahita,Flacq
33,Jalsa Beach Hotel & Spa,Flacq
34,Laguna Beach Hotel & Spa,Flacq
35,Veranda Palmar Beach,Flacq
36,Long Beach,Flacq
37,Maritim Crystals Beach Hotel (Mauritius),Flacq
38,Ambre Hotel,Flacq
39,Radisson Blu Poste Lafayette Resort & Spa,Flacq
40,Friday Attitude,Flacq
41,Tropical Attitude,Flacq
42,Solana Beach (Mauritius),Flacq
43,C Mauritius Hotel,Flacq
44,Salt of Palmar,Flacq
45,Le Peninsula Bay Beach Resort & Spa,Grand Port
46,Le Shandrani Hotel,Grand Port
47,Preskil Island Resort (Mauritius),Grand Port
48,Astroea Beach,Grand Port
49,Holiday Inn (Mauritius) Mon Trésor,Grand Port
50,Anantara IKO Mauritius Resort & Villas,Grand Port
51,LUX Grand Baie Resort & Residences,Grand Baie
52,Voilà Bagatelle Hotel,Moka
53,Villas Mon Plaisir,Pamplemousses
54,Maritim Resort & Spa (Mauritius),Pamplemousses
55,Sakoa Hotel,Pamplemousses
56,Tarisa Resort,Pamplemousses
57,The Ravenala Attitude,Pamplemousses
58,Récif Attitude,Pamplemousses
59,Le Palmiste Resort & Spa,Pamplemousses
60,The Oberoi Mauritius,Pamplemousses
61,Casuarina Resort & Spa,Pamplemousses
62,Coral Azur Beach Resort,Pamplemousses
63,Victoria Beachcomber Resort & Spa,Pamplemousses
64,Le Méridien Île Maurice,Pamplemousses
65,Club Med,Pamplemousses
66,Canonnier Beachcomber Golf Resort & Spa,Pamplemousses
67,Voile Bleue,Pamplemousses
68,The Westin Turtle Bay Resort & Spa (Mauritius),Pamplemousses
69,Hotel Le Grand Bleu,Pamplemousses
70,InterContinental Hotel,Pamplemousses
71,Trou aux Biches Beachcomber Golf Resort & Spa,Pamplemousses
72,Le Jadis Beach Resort & Wellness,Pamplemousses
73,Veranda Pointe aux Biches,Pamplemousses
74,Cocotiers Seaside Boutik Hotel,Pamplemousses
75,Be Cosy Apart Hotel,Pamplemousses
76,The Address Boutique Hotel,Pamplemousses
77,Le Cardinal Exclusive Resort,Pamplemousses
78,Seapoint Boutique Hotel,Pamplemousses
79,Wonders Beach Boutique,Pamplemousses
80,Ocean Greek Beach Hotel,Pamplemousses
81,Baystone Boutique Hotel & Spa,Pamplemousses
82,Gold Crest Hotel,Plaine Wilhems
83,Hennessy Park Hotel,Plaine Wilhems
84,Palms Hotel,Plaine Wilhems
85,Labourdonnais Waterfront Hotel,Port Louis
86,Hotel Le St Georges,Port Louis
87,Le Suffren Hotel & Marina,Port Louis
88,Coin de Mire Hotel,Rivière du Rempart
89,Veranda Paul et Virginie,Rivière du Rempart
90,Paradise Cove Hotel,Rivière du Rempart
91,Royal Palm Beachcomber Luxury,Rivière du Rempart
92,Le Mauricia Hotel,Rivière du Rempart
93,Ocean Villas,Rivière du Rempart
94,Lagoon Attitude,Rivière du Rempart
95,Hibiscus,Rivière du Rempart
96,LUX Grand Gaube,Rivière du Rempart
97,Casa Florida,Rivière du Rempart
98,Hotel 20 Degrés Sud,Rivière du Rempart
99,Ventura Hotel,Rivière du Rempart
100,Veranda Grand Baie,Rivière du Rempart
101,Zilwa Attitude,Rivière du Rempart
102,Radisson Blu Azuri Resort & Spa,Rivière du Rempart
103,Sunset Reef Resort & Spa,Rivière du Rempart
104,Pereybere Hotel & Spa,Rivière du Rempart
105,Outrigger Mauritius Beach Resort,Savanne
106,Heritage Le Telfair Golf & Spa Resort,Savanne
107,Shanti Maurice,Savanne
108,Tamassa,Savanne
109,Sofitel SO Mauritius,Savanne
110,Heritage Awali Golf & Spa Resort,Savanne
